State,Officers Assulted in 2015,# of reporting agencies,# of officers,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000,Total Education Expendature,Total Corrections Expendadure,Police/Fire Expendature
Alabama,0,94,4858,5391,59,648,900,761,3671,20806,3511,15249,2046,743350,1200,235,1435,116,456,572,1316,691,2007,2.7,2784.09,146.18,347.07
Alaska,0,0,0,22957,348,1449,2037,4612,15960,144785,35265,99182,10338,5295404,11616,2298,13914,905,3908,4813,12521,6206,18727,3.54,4375.64,356.44,570.66
Arizona,6,91,12260,15769,189,1425,2008,2117,11455,97391,22851,68720,5820,3131415,6310,1593,7903,544,2452,2996,6854,4045,10899,3.48,2435.91,155.01,249.24
Arkansas,0,256,5327,27968,306,2268,3109,6360,18193,207184,38010,152388,16786,6885540,11826,4774,16600,1420,5411,6831,13246,10185,23431,3.4,2160.46,247.44,479.71
California,13,683,76351,166883,1861,9341,12811,52862,99349,1024914,197404,656517,170993,39469712,68706,15295,84001,10167,26162,36329,78873,41457,120330,3.05,2839.56,366.61,600.63
Colorado,5,220,11696,17348,173,2422,3328,3315,10532,144044,23490,104532,16022,5831521,11814,2410,14224,1701,4206,5907,13515,6616,20131,3.45,2553.72,218.17,425.38
Connecticut,1,102,7741,7938,116,585,798,2925,4099,65610,10286,48898,6426,3703110,7199,738,7937,782,1051,1833,7981,1789,9770,2.64,3176.26,202.43,429.37
Delaware,0,56,2239,8538,162,365,494,3746,4136,31444,2971,25208,3265,672228,3938,442,4380,947,418,1365,4885,860,5745,8.55,3773.98,400.74,1346.91
District of Columbia,0,1,3826,4760,62,257,361,1240,3097,25545,4797,19555,1193,962461,2550,524,3074,297,801,1098,2847,1325,4172,4.33,3285.76,317.33,364.87
Florida,0,271,36264,93625,1041,5396,7552,21137,63895,570270,109268,420341,40661,20388277,42193,9820,52013,6937,17711,24648,49130,27531,76661,3.76,2242.18,240.38,548.19
Georgia,3,322,18870,38891,622,2343,3257,12545,22467,316013,68149,220715,27149,10812277,32796,5843,38639,6586,9761,16347,39382,15604,54986,5.09,2194.9,223.38,342.47
Hawaii,1,2,2361,4201,19,561,400,1203,2418,54346,6557,42010,5779,1556738,3066,300,3078,294,630,924,3360,930,4002,2.57,2464.67,162.61,381.02
Idaho,0,102,2692,8619,73,877,1205,1050,6291,64688,14977,45328,4383,3755941,5548,1279,6827,451,2088,2539,5999,3367,9366,2.49,2495.66,131.84,271.88
Illinois,0,1,280,3593,32,508,703,191,2667,28912,6124,20916,1872,1732511,2951,370,3321,225,1365,1590,3176,1735,4911,2.83,1823.72,188.63,301.95
Indiana,0,168,5117,49755,754,3602,4926,15056,29019,256962,46846,192424,17692,13117464,30941,6945,37886,4945,7392,12337,35886,14337,50223,3.83,2225.48,144.76,501.15
Iowa,0,229,4589,25373,370,1757,2386,7081,15536,171878,34404,123940,13534,7120157,11624,2647,14271,910,2947,3857,12534,5594,18128,2.55,2097.1,160.57,312.51
Kansas,0,177,4817,11483,126,1226,1684,1823,7850,80059,15619,57435,7005,3493349,8097,1819,9916,812,2606,3418,8909,4425,13334,3.82,2417.54,161.8,338.87
Kentucky,1,286,6009,9887,219,1165,1644,3314,4710,97545,22526,67143,7876,4558115,10447,1223,11670,870,1764,2634,11317,2987,14304,3.14,2043.01,168.16,261.73
Louisiana,2,80,5874,25202,492,1246,1733,5561,17416,157708,35457,112520,9731,4841777,14244,2393,16637,3456,3984,7440,17700,6377,24077,4.97,2325.22,258.99,415.19
Maine,0,181,1972,26453,131,1538,2082,5266,18974,114547,21826,84676,8045,7085175,16298,1573,17871,1505,2248,3753,17803,3821,21624,3.05,2644.55,211.83,436.82
Maryland,2,132,10237,28185,538,1209,1717,10111,15819,142547,26432,102701,13414,7594836,17947,2513,20460,2690,3810,6500,20637,6323,26960,3.55,3039.68,289.69,483.49
Massachusetts,3,332,14151,1726,23,337,461,311,931,24361,4694,18853,814,1376223,2224,215,2439,153,353,506,2377,568,2945,2.14,2415.86,151.55,275.47
Michigan,6,600,16660,41712,585,4782,6710,7818,26599,191191,40375,132019,18797,10557596,17501,3404,20905,2508,3680,6188,20009,7084,27093,2.57,2830.53,245.14,337.14
Minnesota,1,373,9170,13319,133,1679,2321,3771,7094,121984,19299,94704,7981,5723173,8727,2242,10969,1148,2772,3920,9875,5014,14889,2.6,2829.75,153.58,360.48
Mississippi,0,46,1810,30292,503,1858,2573,6383,20833,173788,34029,122749,17010,6196833,14742,2908,17650,1544,4111,5655,16286,7019,23305,3.76,2340.27,128.88,381.31
Missouri,4,526,14286,8190,253,851,1158,2312,4467,85785,25068,56446,4271,3390043,6323,1539,7862,604,2280,2884,6927,3819,10746,3.17,2433.53,156.38,279.61
Montana,0,101,1559,3647,38,405,572,210,2827,27276,3887,20966,2423,1157689,1975,667,2642,135,785,920,2110,1452,3562,3.08,2606.18,198.33,336.59
Nebraska,0,213,3477,34734,517,1886,2591,8821,22805,275915,74760,187732,13423,2116117,3782,514,4296,442,1159,1601,4224,1673,5897,2.79,2464.08,173.52,332.87
Nevada,4,42,6253,1949,21,285,391,159,1378,17716,3296,12686,1734,11015159,24826,5804,30630,3060,6573,9633,27886,12377,40263,3.66,2878.22,124.92,255.94
New Hampshire,0,163,2224,5167,62,648,885,994,3226,42597,6443,32148,4006,795284,1600,261,1861,199,397,596,1799,658,2457,3.09,2856.56,178.98,393.78
New Jersey,0,550,26459,2692,15,468,644,475,1558,23453,3482,19076,895,1374133,2531,271,2802,239,600,839,2770,871,3641,2.65,2586.42,124.04,371.89
New Mexico,3,38,902,22879,363,1019,1373,9729,11414,145701,27960,105963,11778,9310977,33986,4778,38764,3229,6819,10048,37215,11597,48812,5.24,3521.1,234.76,471.19
New York,2,452,25001,13672,117,1218,1663,2485,9407,77212,17084,51485,8643,2151227,4368,752,5120,486,1251,1737,4854,2003,6857,3.19,2975.23,273.26,433.86
North Carolina,1,305,19575,20118,178,1232,1688,6287,11965,77137,22360,43426,11351,2897487,5707,758,6465,705,2089,2794,6412,2847,9259,3.2,2380.19,252.03,604.12
North Dakota,0,107,1651,75126,613,4414,6141,23879,44493,317225,44117,257837,15271,21811666,55464,7515,62979,8678,13323,22001,64142,20838,84980,3.9,3325.62,274.06,568.91
Ohio,0,69,2428,34373,522,3990,5441,12617,15793,303743,69994,216354,17395,14137838,26169,4432,30599,2845,6375,9220,29014,10807,39819,2.82,2678.9,164.92,407.55
Oklahoma,3,346,7278,16746,240,1418,1953,3018,11535,114055,28783,74678,10594,4319343,8372,2067,10439,647,2644,3291,9019,4711,13730,3.18,2509.49,185.68,329.71
Oregon,0,150,3861,10680,110,1193,1650,2163,6757,119752,18541,90514,10697,8727050,12437,3271,15708,1449,4400,5849,13886,7671,21557,2.47,410.64,257.35,2557.27
Pennsylvania,3,980,19873,40348,665,3105,4299,12965,22419,231941,39573,180236,12132,13631853,24357,2072,26429,2648,3261,5909,27005,5333,32338,2.37,277.94,230.57,2634.67
Rhode Island,0,49,2441,2565,31,342,467,547,1520,20038,3938,14714,1386,1062954,2267,264,2531,183,364,547,2450,628,3078,2.9,557.64,201.86,2785.81
South Carolina,3,358,11063,24448,407,1717,2439,3950,17652,162830,34942,114778,13110,5151240,12133,2014,14147,1514,3059,4573,13647,5073,18720,3.63,295.6,149.7,2720.97
South Dakota,0,90,1358,3302,33,367,500,215,2554,16739,2969,12576,1194,923323,1736,573,2309,121,736,857,1857,1309,3166,3.43,233.74,177.99,2177.97
Tennessee,6,422,16342,40816,418,2032,2801,7499,30098,196047,43753,139259,13035,6663647,16468,5299,21767,1598,5764,7362,18066,11063,29129,4.37,336.8,145.28,1983.28
Texas,7,685,28975,113193,1317,8941,12323,31924,67629,779234,153067,558653,67514,27801749,50571,14993,65562,6614,19861,26475,57185,34854,92037,3.31,425,227.86,2713.97
Utah,0,120,4630,7138,57,1247,1704,1329,4048,89797,12606,68464,8727,3252811,4737,995,5732,335,1323,1658,5072,2318,7390,2.27,343.19,180.95,2739.48
Vermont,0,83,1149,16705,390,1767,2499,4459,9357,157803,21542,128064,8197,8396653,17325,1621,18946,2286,3788,6074,19611,5409,25020,2.98,398.6,256.97,2911.18
Virginia,2,410,16787,747,10,104,150,105,482,9064,2034,6834,196,652392,1178,125,1295,123,213,336,1301,338,1631,2.5,293.33,191.29,3566.37
Washington,0,240,9082,20505,218,2006,2778,5450,12059,249474,51114,171393,26967,7865318,10331,1711,12042,1054,2838,3892,11385,4549,15934,2.03,378.94,232.8,2747.79
West Virginia,2,221,2817,17549,240,1324,1805,5234,10270,114171,19602,83572,10997,5923676,11254,2438,13686,1760,3298,5058,13014,5736,18744,3.16,384.46,248.14,2770.5
Wisconsin,1,380,11924,6397,85,493,710,783,4819,38694,9467,26984,2243,2329806,4387,319,4706,273,732,1005,4660,1051,5711,2.45,220.84,147.37,2580.54
Wyoming,0,56,1286,1300,16,124,171,59,1054,11151,1762,8797,592,598304,1407,275,1682,142,519,661,1549,794,2343,3.92,457.63,319,4202.47
